"","X.","Name","Symbol","Market.Cap","Price","Circulating.Supply","Volume..24h.","X..1h","X..24h","X..7d"
"1",1,"BTC
                        Bitcoin","BTC","$131,229,313,363","$7787.05","16,852,250","$9,375,990,000","0.11%","2.16%","-23.49%"
"2",2,"ETH
                        Ethereum","ETH","$76,212,864,100","$781.85","97,477,603","$4,052,400,000","0.17%","1.21%","-30.75%"
"3",3,"XRP
                        Ripple","XRP","$28,573,782,491","$0.732488","39,009,215,838
                        
                        
                            *","$1,115,300,000","-0.43%","-3.52%","-35.76%"
"4",4,"BCH
                        Bitcoin Cash","BCH","$16,500,672,373","$973.19","16,955,225","$909,761,000","0.18%","1.94%","-34.30%"
"5",5,"ADA
                        Cardano","ADA","$8,858,087,358","$0.341654","25,927,070,538
                        
                        
                            *","$627,826,000","-0.31%","-4.40%","-34.08%"
"6",6,"LTC
                        Litecoin","LTC","$7,769,143,479","$140.96","55,117,508","$845,602,000","-0.35%","0.56%","-13.54%"
"7",7,"NEO
                        NEO","NEO","$7,148,570,000","$109.98","65,000,000
                        
                        
                            *","$612,955,000","0.17%","6.84%","-23.69%"
"8",8,"XLM
                        Stellar","XLM","$6,439,880,332","$0.349383","18,432,151,340
                        
                        
                            *","$179,433,000","-0.02%","-2.84%","-34.24%"
"9",9,"XEM
                        NEM","XEM","$5,008,031,999","$0.556448","8,999,999,999
                        
                        
                            *","$51,835,900","3.61%","-5.57%","-28.84%"
"10",10,"MIOTA
                        IOTA","MIOTA","$4,581,777,718","$1.65","2,779,530,283
                        
                        
                            *","$65,318,200","-0.10%","3.67%","-27.92%"
"11",11,"DASH
                        Dash","DASH","$4,227,205,912","$537.06","7,870,968","$81,714,800","0.52%","3.65%","-22.77%"
"12",12,"XMR
                        Monero","XMR","$3,375,630,630","$215.06","15,696,154","$67,822,400","0.20%","3.95%","-21.58%"
"13",13,"LSK
                        Lisk","LSK","$2,220,134,213","$18.84","117,833,388
                        
                        
                            *","$45,798,900","0.53%","5.86%","-26.82%"
"14",14,"ETC
                        Ethereum Classic","ETC","$1,868,910,151","$18.75","99,695,413","$217,572,000","0.13%","-0.35%","-33.35%"
"15",15,"QTUM
                        Qtum","QTUM","$1,662,660,699","$22.51","73,865,500
                        
                        
                            *","$235,099,000","0.17%","-2.35%","-44.44%"
"16",16,"BTG
                        Bitcoin Gold","BTG","$1,514,740,974","$90.10","16,810,899","$35,196,900","0.27%","-0.48%","-42.03%"
"17",17,"XRB
                        Nano","XRB","$1,430,180,538","$10.73","133,248,289
                        
                        
                            *","$41,992,400","-0.30%","3.69%","-43.84%"
"18",18,"ZEC
                        Zcash","ZEC","$1,201,984,289","$372.09","3,230,394","$99,105,300","0.79%","4.95%","-6.80%"
"19",19,"STEEM
                        Steem","STEEM","$912,989,097","$3.66","249,167,366
                        
                        
                            *","$56,268,300","-0.79%","-2.04%","-27.69%"
"20",20,"BCN
                        Bytecoin","BCN","$791,602,735","$0.004309","183,713,415,372","$4,037,770","1.29%","1.28%","-27.29%"
