"","#","Name","Symbol","Market Cap","Price","Circulating Supply","Volume (24h)","% 1h","% 24h","% 7d"
"1",1,"Bitcoin","BTC","$133,350,461,802","$7912.90","16852287","$9,546,120,000","2.00%","4.32%","-22.28%"
"2",2,"Ethereum","ETH","$77,213,487,420","$792.11","97477869","$4,108,530,000","1.58%","3.21%","-29.92%"
"3",3,"Ripple","XRP","$28,951,118,636","$0.742161","39009215838","$1,131,090,000","1.57%","-1.66%","-34.93%"
"4",4,"Bitcoin Cash","BCH","$16,744,280,435","$987.56","16955238","$933,028,000","1.58%","4.01%","-33.31%"
"5",5,"Cardano","ADA","$8,959,436,276","$0.345563","25927070538","$633,113,000","1.61%","-2.86%","-33.37%"
"6",6,"Litecoin","LTC","$7,882,019,069","$143.00","55117858","$868,109,000","1.73%","2.65%","-12.31%"
"7",7,"NEO","NEO","$7,241,845,000","$111.41","65000000","$624,638,000","1.90%","8.95%","-22.68%"
"8",8,"Stellar","XLM","$6,505,904,439","$0.352965","18432151740","$180,553,000","1.30%","-1.37%","-33.58%"
"9",9,"NEM","XEM","$4,829,858,999","$0.536651","8999999999","$44,177,200","-2.33%","-8.52%","-31.44%"
"10",10,"IOTA","MIOTA","$4,686,260,262","$1.69","2779530283","$66,944,500","2.69%","6.35%","-26.28%"
"11",11,"Dash","DASH","$4,302,102,121","$546.58","7870990","$82,990,900","2.41%","6.11%","-21.42%"
"12",12,"Monero","XMR","$3,458,563,817","$220.34","15696201","$69,709,900","2.89%","7.46%","-19.71%"
"13",13,"Lisk","LSK","$2,267,807,057","$19.25","117833868","$46,490,500","2.98%","8.98%","-25.16%"
"14",14,"Ethereum Classic","ETC","$1,901,716,370","$19.08","99695750","$222,006,000","1.89%","2.46%","-32.24%"
"15",15,"Qtum","QTUM","$1,685,921,767","$22.82","73865536","$238,947,000","1.61%","0.04%","-43.72%"
"16",16,"Bitcoin Gold","BTG","$1,539,357,781","$91.57","16810924","$35,939,900","2.13%","1.72%","-41.13%"
"17",17,"Nano","XRB","$1,464,505,297","$10.99","133248289","$42,871,100","1.87%","7.39%","-42.47%"
"18",18,"Zcash","ZEC","$1,225,626,509","$379.39","3230519","$100,935,000","2.94%","8.08%","-5.10%"
"19",19,"Steem","STEEM","$927,082,773","$3.72","249171591","$57,034,200","1.63%","-0.01%","-26.73%"
"20",20,"Bytecoin","BCN","$809,365,452","$0.004406","183713711298","$4,119,230","3.43%","4.35%","-25.74%"
"21",21,"Verge","XVG","$742,442,985","$0.050962","14568446238","$26,291,500","2.83%","3.26%","-28.09%"
"22",22,"Siacoin","SC","$695,040,975","$0.021597","32182143672","$18,609,700","3.51%","2.53%","-36.62%"
"23",23,"Stratis","STRAT","$666,931,937","$6.75","98731889","$12,206,300","2.33%","0.49%","-45.35%"
"24",24,"BitShares","BTS","$595,092,450","$0.228156","2608270000","$45,022,000","2.38%","6.22%","-47.99%"
"25",25,"Waves","WAVES","$512,180,000","$5.12","100000000","$17,741,000","1.49%","3.86%","-33.29%"
"26",26,"Dogecoin","DOGE","$502,356,421","$0.004442","113105126976","$13,278,200","1.07%","5.39%","-25.95%"
"27",27,"Decred","DCR","$483,443,150","$72.01","6713453","$1,016,680","2.30%","3.64%","-25.75%"
"28",28,"Hshare","HSR","$442,524,583","$10.39","42596314","$67,254,000","1.63%","2.26%","-26.06%"
"29",29,"Ardor","ARDR","$410,052,330","$0.410463","998999495","$9,197,940","2.61%","4.02%","-47.51%"
"30",30,"Electroneum","ETN","$408,099,365","$0.067038","6087546312","$6,095,290","3.35%","13.68%","-20.25%"
"31",31,"Komodo","KMD","$390,555,746","$3.79","102997103","$2,755,370","2.00%","-2.51%","-35.40%"
"32",32,"Ark","ARK","$370,808,603","$3.69","100489864","$3,479,720","1.08%","1.38%","-34.49%"
"33",33,"DigiByte","DGB","$312,835,888","$0.031888","9810581175","$5,516,320","2.63%","1.85%","-38.56%"
"34",34,"Byteball Bytes","GBYTE","$308,428,401","$478.02","645222","$633,861","2.66%","12.13%","-20.35%"
"35",35,"PIVX","PIVX","$292,375,776","$5.27","55515512","$5,475,090","2.35%","2.37%","-35.30%"
"36",36,"ZClassic","ZCL","$290,369,308","$88.94","3264950","$4,410,610","5.92%","4.38%","-24.94%"
"37",37,"Syscoin","SYS","$284,550,772","$0.536082","530797102","$18,372,700","5.30%","29.34%","-4.67%"
"38",38,"Cryptonex","CNX","$267,760,322","$5.94","45103236","$223,211","2.38%","2.80%","-21.92%"
"39",39,"Bitcore","BTX","$252,228,700","$22.59","11165206","$1,349,350","3.00%","5.83%","-2.32%"
"40",40,"GXShares","GXS","$241,445,400","$4.02","60000000","$8,168,940","2.18%","-3.23%","-18.41%"
"41",41,"SmartCash","SMART","$219,308,513","$0.323975","676930359","$342,008","2.11%","6.34%","-30.00%"
"42",42,"Factom","FCT","$216,275,992","$24.73","8745102","$6,302,820","3.36%","-1.50%","-36.18%"
"43",43,"MonaCoin","MONA","$206,576,150","$3.61","57269475","$3,538,250","2.41%","-2.23%","-25.43%"
"44",44,"ZCoin","XZC","$193,172,147","$47.62","4056159","$5,811,900","4.11%","1.77%","-33.15%"
"45",45,"ReddCoin","RDD","$181,745,213","$0.006324","28740055495","$2,754,390","4.64%","8.11%","-29.44%"
"46",46,"Particl","PART","$174,656,143","$19.70","8863634","$866,175","2.95%","3.15%","-26.01%"
"47",47,"Nxt","NXT","$172,480,337","$0.172653","998999942","$8,585,990","2.42%","2.56%","-38.95%"
"48",48,"Nexus","NXS","$160,563,063","$2.89","55482321","$1,484,550","1.52%","-1.41%","-40.75%"
"49",49,"Emercoin","EMC","$149,799,701","$3.63","41279644","$1,056,840","3.02%","20.87%","-33.21%"
"50",50,"GameCredits","GAME","$142,366,266","$2.21","64355352","$1,801,170","2.35%","1.92%","-30.00%"
"51",51,"Neblio","NEBL","$140,445,938","$10.98","12796313","$3,083,110","2.04%","-1.02%","-36.06%"
"52",52,"Experience Po...","XP","$133,470,721","$0.000625","213560328951","$649,192","5.25%","19.36%","-4.52%"
"53",53,"Blocknet","BLOCK","$132,186,223","$26.41","5005044","$207,332","4.04%","8.00%","-25.45%"
"54",54,"Vertcoin","VTC","$125,737,657","$2.94","42831575","$4,502,880","2.47%","1.26%","-23.20%"
"55",55,"DigitalNote","XDN","$120,397,568","$0.017461","6895345996","$9,628,920","4.77%","10.56%","-35.08%"
"56",56,"BitcoinDark","BTCD","$118,083,620","$91.62","1288862","$48,390","2.68%","7.42%","-29.52%"
"57",57,"ZenCash","ZEN","$117,589,214","$37.10","3169700","$1,993,880","2.62%","8.78%","-22.56%"
"58",58,"Skycoin","SKY","$116,908,411","$15.89","7357126","$649,380","5.01%","3.77%","-29.64%"
"59",59,"HTMLCOIN","HTML","$107,999,422","$0.001661","65016026560","$350,442","4.25%","7.42%","-24.56%"
"60",60,"Achain","ACT","$101,597,700","$0.338659","300000000","$9,865,330","1.59%","2.19%","-30.25%"
